Date,Type,Link
6/24/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7078072800875352064
6/22/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7077666733804724225
6/19/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7076549251018731520
6/6/2023,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7071888113190502400
6/3/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7070681745636958210
5/28/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7064575577667596288
5/27/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7068309895481036800
5/2/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7059258937174310912
4/19/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7054474982998888448
4/15/2023,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7053050690696343552
4/8/2023,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7050441763139829760
11/21/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999614430191767552
11/15/2022,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998008546789376000
11/7/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995396655814500352
11/2/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991810331912155136
10/31/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992878991917334528
9/28/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980886069370130432
9/25/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A6773411-6979260754319278080
9/21/2022,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978151313134010368
9/6/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6972945777392300033
8/30/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970522453831806976
8/30/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6964577267419160576
8/24/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6968300061311082496
8/17/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6965366767665774592
8/11/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6963528874236276736
8/8/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6962410466908200960
8/5/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6960645379574939648
7/26/2022,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6957716247945826304
7/17/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6953978723905748994
7/12/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6952386842541350912
7/6/2022,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6950488357336473600
7/5/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6945023350536642560
7/1/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948664237179252736
6/29/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947682840608137218
6/13/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6942129200711487488
6/8/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6940136610306953216
6/1/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6937588016903290880
5/27/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934610334611632128
5/10/2022,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6929863837546414080
4/16/2022,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6915161622177042432
4/14/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920153523837972480
3/31/2022,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6915168535686070272
